Topic,Words,Frequency,Timestamp
-1,"classification, election, panel, german, mixed mode",41,2023
0,"social media, groups, political, task, pre registered",18,2023
1,"children, health, european, search engines, migration",9,2023
2,"web, sharing, machine learning, label, behavioral",17,2023
3,"machine learning, coding, errors, random, best",4,2023
4,"voting, personality traits, trust, germany, climate",20,2023
5,"women, labour, german, migration, predictors",6,2023
6,"translation, privacy, errors, digital, experiment",14,2023
7,"migration, support, energy, inequality, europe",10,2023
8,"waves, response behavior, private, indicators, general population",11,2023
9,"open science, training, availability, goal, cases",6,2023
10,"difference, measurement invariance, parliamentary, performance, social sciences",11,2023
11,"traits, preregistered, conceptualization, scores, engagement",2,2023
12,"european, heterogeneity, different levels, comparisons, communities",5,2023
13,"party, perception, negative, public opinion, costs",3,2023
14,"german, decreases, processes, share, 2020",5,2023
15,"estimation, training, architecture, machine learning, network",4,2023
16,"participation, google, experiment, probability based, practical recommendations",11,2023
17,"growth, diversity, norms, network, personality",6,2023
18,"articles, access, income, increasing, domains",10,2023
19,"adolescents, migration, track, inequalities, employment",9,2023
20,"web, based german, response behavior, gaps, reliability",5,2023
22,"bias, speech, detection, robustness, sheds light",7,2023
23,"sampling, self administered, germany, costs, mixed mode",8,2023
24,"identity, parties, right wing, ethnic, methodological",3,2023
25,"students, framework, texts, language models llms, explore",3,2023
26,"cognitive, open ended, interviews, tested, nonresponse",4,2023
27,"incentives, panel, demographic, tested, access",11,2023
-1,"gender, quality, tasks, networks, german",61,2024
0,"social media, political, exposure, trust, predictors",32,2024
1,"covid 19, web, germany, attitudes, questionnaire",28,2024
2,"willingness, social science, long, browsing, digital",21,2024
3,"text, detection, performance, machine learning, social media",30,2024
4,"attitudes, politicians, levels, gap, 2021 german",6,2024
5,"federal, german, migrants, sociodemographic, women",14,2024
6,"machine, natural language processing, privacy, errors, german",13,2024
7,"regional, welfare, migrants, long term, comparing",13,2024
8,"panel, waves, differences, questionnaire, women",14,2024
9,"digital trace, social sciences, facebook, different types, energy",12,2024
10,"election, comparability, trust, instruments, variables",6,2024
11,"students, matching, success, adults, attitude",15,2024
12,"trust, cognitive, crisis, individual differences, government",10,2024
13,"negative, search engines, engines, voters, attitudes",14,2024
14,"german, processes, changes, political attitudes, scholars",13,2024
15,"frame, identification, network, coding, model",9,2024
16,"waves, age, positive effect, gesis panel, fine grained",2,2024
17,"scale, belief, adolescents, widely used, sex",9,2024
18,"news articles, trends, texts, domain, united kingdom",6,2024
19,"employment, adolescents, inequalities, migration, regression models",5,2024
20,"reliability, search engines, health, political, increasingly used",10,2024
21,"differences, regional, german, multilevel, democracies",11,2024
22,"past, biased, tools, roles, large language",5,2024
23,"mixed mode, costs, sampling, self administered, age",6,2024
24,"national, voting, multi level, salience, predicts",5,2024
25,"framework, llms, advantages, linking, large language models",7,2024
26,"open ended, cognitive, time, citizenship, nonresponse",4,2024
-1,"differences, age, assumptions, campaign, literacy",35,2025
0,"social media, perceptions, increased, waves, government",8,2025
1,"cohort, profiles, countries, educated, emotional",9,2025
2,"google, speech, biases, precision, accessible",2,2025
3,"computational, age, social media, training, lead",6,2025
4,"political, climate, attitudes, dimension, european",13,2025
5,"german, united states, reliability, cross cultural, age",13,2025
6,"digital, llms, language, privacy, 50",4,2025
7,"energy, welfare, levels, european union, literacy",5,2025
8,"settings, cognitive, selection, effects, inequality",3,2025
9,"sharing, publications, digital trace, fewer, million",7,2025
10,"parliamentary, validated, multi level, italy, scientists",8,2025
11,"integration, students, personality, predictive, level",5,2025
12,"opposition, lower, responsiveness, randomly assigned, governments",5,2025
13,"elections, choice, benefit, driver, personality",3,2025
14,"european union, transformation, scholars, linking, opportunities",2,2025
15,"network, models, future, components, distribution",6,2025
16,"linkage, participation, effects, probability, german",6,2025
17,"growth, notion, power, opportunities, application",3,2025
18,"efficiency, matching, traditional, authors, language models llms",1,2025
19,"inequalities, emotional, educational, differences, policymakers",3,2025
20,"politicians, search engines, predictive, popular, sociodemographic",2,2025
21,"governments, multilevel, likelihood, responsiveness, german",5,2025
22,"minority, workplace, empirical evidence, integrating, remain",3,2025
24,"immigration, parties, individual level, threat, news articles",6,2025
25,"biases, left, authoritarian, language models llms, leverage",2,2025
26,"open ended, web, questionnaire, higher levels, nonresponse",3,2025
